sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama/baglama.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama/baglama.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama-9/baglama-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama-9/baglama-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/baglama-9/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/bati-muzigi-teori/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/bati-muzigi-teori/bati-muzigi-teori.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/bati-muzigi-teori/bati-muzigi-teori.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/bati-muzigi-teori/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/cello/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/cello/cello.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/cello/cello.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/cello/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/flut/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/flut/flut.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/flut/flut.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/flut/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/gitar/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/gitar/gitar.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/gitar/gitar.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/gitar/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun/kanun.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun/kanun.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun-9/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun-9/kanun-9.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun-9/kanun-9.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kanun-9/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kaval/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kaval/kaval.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kaval/kaval.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kaval/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/keman/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/keman/keman.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/keman/keman.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/keman/files/mobile/2.jpg
muzik-9,9. Sınıf,muzik,Müzik,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kemane/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kemane/kemane.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kemane/kemane.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/muzik/9/kemane/files/mobile/2.jpg
