sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,pdfId,pdfBaslik,pdfLink
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3474,4,10.1.2.1.,10.1.2.1.- Mayozu açıklar.,suceiucy05x.pdf,HOMOLOG KROMOZOM,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/suceiucy05x.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3474,4,10.1.2.1.,10.1.2.1.- Mayozu açıklar.,qphon34gljy.pdf,KROSSING OVER,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/qphon34gljy.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3474,4,10.1.2.1.,10.1.2.1.- Mayozu açıklar.,1x3cqgvbxoh.pdf,NEDEN FARKLIYIZ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/1x3cqgvbxoh.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3474,4,10.1.2.1.,10.1.2.1.- Mayozu açıklar.,3dtmh0jlzq4.pdf,MAYOZUN İKİNCİ AŞAMASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/3dtmh0jlzq4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3475,5,10.1.2.2.,10.1.2.2.- Eşeyli üremeyi örneklerle açıklar.,fvd4rf4xumn.pdf,İNSANLARDAKİ ÇEŞİTLİLİK,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/fvd4rf4xumn.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,xkzrxdjztqk.pdf,KİME BENZİYORUM,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/xkzrxdjztqk.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,htgx100ruiy.pdf,MENDEL GENETİĞİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/htgx100ruiy.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,uhbzirge4ce.pdf,GEN VE ALEL İLİŞKİSİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/uhbzirge4ce.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,w1yfoc441fw.pdf,GENOTİPTEN FENOTİPE,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/w1yfoc441fw.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,ekivoptyuhd.pdf,KİMİN SÖZÜ GEÇECEK,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ekivoptyuhd.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,jbb145i0iv4.pdf,MOR ÇIÇEKLI BEZELYE BEYAZ ÇIÇEK AÇTI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/jbb145i0iv4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,n4ea43v511k.pdf,BAZEN SAKLANIRIZ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/n4ea43v511k.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,j5ytka5hz1t.pdf,GENLER NASIL AKTARILIR?,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/j5ytka5hz1t.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,28,2,Kalıtımın Genel İlkeleri,3476,1,10.2.1.1.,10.2.1.1.- Kalıtımın genel esaslarını açıklar.,ivorlrk4noj.pdf,MUTASYON NEDİR?,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ivorlrk4noj.pdf
