baslik,pdfId,pdfLink,videoId,playlistId,time,videoLink
Matematik (AYT),rwem40zqgvn.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/rwem40zqgvn.pdf,dhKGWGiPrkY,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,105,https://youtu.be/dhKGWGiPrkY?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=105
Matematik (AYT),omogi4c2udh.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/omogi4c2udh.pdf,Y72fvO_YHXY,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,1,https://youtu.be/Y72fvO_YHXY?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY&t=1
Matematik (AYT),4agxxcndost.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/4agxxcndost.pdf,EsYlDTcOYvA,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,,https://youtu.be/EsYlDTcOYvA?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB
Matematik (AYT),xpc2ilnbmen.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/xpc2ilnbmen.pdf,VowcbTkuP74,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/VowcbTkuP74?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),h1eraqcwkfu.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/h1eraqcwkfu.pdf,_wFqtQLRHV4,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/_wFqtQLRHV4?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),4k42rhdudzb.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/4k42rhdudzb.pdf,jJpuhZ6WoCE,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,2,https://youtu.be/jJpuhZ6WoCE?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY&t=2
Matematik (AYT),bs4quvnhkhm.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/bs4quvnhkhm.pdf,bGd4ckh_JG8,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/bGd4ckh_JG8?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),qaqslg5qspm.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/qaqslg5qspm.pdf,9sVEuVEGihQ,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/9sVEuVEGihQ?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),0gsygjxvc04.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/0gsygjxvc04.pdf,kfsu9knVAZ0,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/kfsu9knVAZ0?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),q3r1lyccvqz.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/q3r1lyccvqz.pdf,chOEFAMmDh0,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/chOEFAMmDh0?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),yy4wvchnf5z.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/yy4wvchnf5z.pdf,2BnJtmHqUs4,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/2BnJtmHqUs4?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),0os4sgw5lhi.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/0os4sgw5lhi.pdf,PZFcnctWh90,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,1,https://youtu.be/PZFcnctWh90?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY&t=1
Matematik (AYT),,https://ogmmateryal.eba.gov.tr/panel/upload/files/,BBGpeFLsgUU,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,,https://youtu.be/BBGpeFLsgUU?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY
Matematik (AYT),,https://ogmmateryal.eba.gov.tr/panel/upload/files/,D3aiM_e2SHY,PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY,1,https://youtu.be/D3aiM_e2SHY?list=PLUYa52_9xFS-PtuU_pbAOBGfX88o2uCaY&t=1
Matematik (TYT),xawunsglobt.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/xawunsglobt.pdf,Ymolh7aK_vQ,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,107,https://youtu.be/Ymolh7aK_vQ?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=107
Matematik (TYT),qggdwxlphaw.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/qggdwxlphaw.pdf,Ve6dwte__P0,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,106,https://youtu.be/Ve6dwte__P0?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=106
Matematik (TYT),j0mhelqkdba.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/j0mhelqkdba.pdf,z5yD6uye1mM,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,72,https://youtu.be/z5yD6uye1mM?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=72
Matematik (TYT),z1mxiavvbwa.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/z1mxiavvbwa.pdf,b6xlqFCf0OY,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,91,https://youtu.be/b6xlqFCf0OY?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=91
Matematik (TYT),twbiwrcgz2d.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/twbiwrcgz2d.pdf,ZKRJsEXf1Zc,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,,https://youtu.be/ZKRJsEXf1Zc?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB
Matematik (TYT),ykzvgwyyapc.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ykzvgwyyapc.pdf,CTaQZrT_bsE,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,,https://youtu.be/CTaQZrT_bsE?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB
Matematik (TYT),wdwuag0zz1l.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/wdwuag0zz1l.pdf,SQcOjB2qU7E,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/SQcOjB2qU7E?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),wjzm5wvlve3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/wjzm5wvlve3.pdf,9Do-U1EBGqM,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/9Do-U1EBGqM?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),d12n1aey1aa.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/d12n1aey1aa.pdf,bdXoZtGhwEU,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/bdXoZtGhwEU?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),kwdmtz4nktx.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/kwdmtz4nktx.pdf,Tvgvvj75qpI,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/Tvgvvj75qpI?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),or1vu2bmiai.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/or1vu2bmiai.pdf,HAwdv7EW_eA,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/HAwdv7EW_eA?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),ow3i5zinfpq.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ow3i5zinfpq.pdf,NNUy5Or5wzM,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/NNUy5Or5wzM?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),mvnlauczeww.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/mvnlauczeww.pdf,X0gkMmJUaqc,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/X0gkMmJUaqc?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),n1aqxctjt43.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/n1aqxctjt43.pdf,0M5FqUIdSEU,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/0M5FqUIdSEU?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),x2yogrtlgy1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/x2yogrtlgy1.pdf,wsUsgXeMYh4,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/wsUsgXeMYh4?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
Matematik (TYT),jfj4dmvdbe0.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/jfj4dmvdbe0.pdf,HLOL9thiaEY,PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E,,https://youtu.be/HLOL9thiaEY?list=PLUYa52_9xFS_r4hpRiFaThcgjYk8Ycy6E
