dersKodu,dersIsmi,sinavTipi,konu,pdfId,pdfLink,videoId,playlistId,time,videoLink
COG,COĞRAFYA,TYT,"İKLİM, SU, TOPRAK, BİTKİ",ugju0hdkdxo.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/ugju0hdkdxo.pdf,vnUBUlqViLw,,,https://www.youtube.com/embed/vnUBUlqViLw
COG,COĞRAFYA,TYT/AYT,NÜFUS YERLEŞME VE GÖÇ,nly5uuw2hif.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/nly5uuw2hif.pdf,zV5uKpWN99c,,,https://www.youtube.com/embed/zV5uKpWN99c
COG,COĞRAFYA,TYT/AYT,"BÖLGELER, DOĞAL AFETLER, EKSTREM DOĞA OLAYLARI",emxvrfdqank.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/emxvrfdqank.pdf,w-7jW4hyScU,,,https://www.youtube.com/embed/w-7jW4hyScU
COG,COĞRAFYA,AYT,DÜNYA'DA VE TÜRKİYE'DE EKONOMİK FAALİYETLER,4entwxnnnzr.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/4entwxnnnzr.pdf,oauXd4pucvM,,,https://www.youtube.com/embed/oauXd4pucvM
COG,COĞRAFYA,AYT,"KÜRESEL VE BÖLGESEL ÖRGÜTLER, ÇEVRE VE TOPLUM",tssp5txos3h.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/tssp5txos3h.pdf,ahYoTdqHzXA,,,https://www.youtube.com/embed/ahYoTdqHzXA
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,İSLAM VE İBADET,gletfola0pk.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/gletfola0pk.pdf,Eme7-4g65uc,,,https://www.youtube.com/embed/Eme7-4g65uc
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,BİLGİ VE İNANÇ,yunpl5pcl5w.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/yunpl5pcl5w.pdf,bL1OyQMdzV8,,,https://www.youtube.com/embed/bL1OyQMdzV8
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,DİN VE İSLAM,kcjrn4ayqvw.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/kcjrn4ayqvw.pdf,euDSX6Wdghk,,,https://www.youtube.com/embed/euDSX6Wdghk
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,KUR'AN'A GÖRE HZ. MUHAMMED,53pzkege0cz.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/53pzkege0cz.pdf,DFs21e1rinE,,,https://www.youtube.com/embed/DFs21e1rinE
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,"İSLAM DÜŞÜNCESİNDE İTİKADİ, SİYASİ VE FIKHİ YORUMLAR",1cjxaclkeid.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/1cjxaclkeid.pdf,IlE1dV9SJUo,,,https://www.youtube.com/embed/IlE1dV9SJUo
